listing_id,YearMonth,number,score
11785,2018-7,2,0.9599
11785,2018-8,3,0.7036000000000001
11785,2018-9,2,0.907
11785,2019-10,4,0.696775
11785,2019-11,6,0.90695
11785,2019-12,5,0.6209
11785,2019-2,1,0.9501
11785,2019-3,3,0.9145
11785,2019-4,7,0.8899285714285714
11785,2019-5,6,0.40161666666666673
11785,2019-6,6,0.8380166666666667
11785,2019-7,5,0.8100399999999999
11785,2019-8,2,0.8607
11785,2019-9,4,0.49405000000000004
11785,2020-1,2,0.77
11785,2020-2,2,0.8195
12442,2010-3,2,0.9518500000000001
12442,2014-9,1,0.9136
12442,2015-10,8,0.7530374999999999
12442,2015-11,1,0.9856
12442,2015-12,1,0.9855
12442,2015-8,2,0.92625
12442,2015-9,3,0.6479333333333334
12442,2016-1,2,0.95675
12442,2016-2,4,0.8836499999999999
12442,2016-3,1,0.9393
12442,2017-1,1,0.7818
12442,2017-11,1,0.9904
12442,2017-3,5,0.73772
12442,2017-4,7,0.8754285714285714
12442,2018-1,1,0.6114
12442,2018-10,2,0.75785
12442,2018-11,2,0.8564499999999999
12442,2018-3,2,0.88995
12442,2018-4,2,0.49385
12442,2018-5,1,0.9804
12442,2018-6,5,0.92882
12442,2018-9,1,0.9491
12442,2019-10,3,0.8835000000000001
12442,2019-12,1,0.923
12442,2019-2,1,0.6808
12442,2019-3,4,0.700225
12442,2019-4,6,0.8331666666666666
12442,2019-5,5,0.4102
12442,2019-7,7,0.4852285714285714
12442,2019-8,5,0.5683999999999999
12442,2019-9,3,0.25383333333333336
12442,2020-1,2,0.91875
13744,2010-4,1,0.9376
13744,2011-12,1,0.9792
13744,2011-5,1,0.9836
13744,2014-5,1,0.6353
13744,2015-3,1,0.9651
13744,2016-3,1,0.9059
13744,2017-1,1,0.8882
13744,2017-11,2,0.83455
13744,2017-3,1,0.9257
13744,2017-4,1,0.0
13744,2017-9,1,0.9538
13744,2018-12,1,0.7906
13744,2018-2,1,0.9832
13744,2018-4,3,0.9659333333333334
13744,2018-5,2,0.48505
13744,2018-6,1,0.9325
13744,2018-8,1,0.8622
13744,2019-10,1,0.926
13744,2019-11,1,0.9809
13744,2019-4,1,0.9509
13824,2009-12,2,0.9365
13824,2010-1,3,0.9836999999999999
13824,2010-10,1,0.9359
13824,2010-11,2,0.9452499999999999
13824,2010-12,1,0.9837
13824,2010-2,1,0.9571
13824,2010-3,5,0.9340999999999999
13824,2010-4,4,0.9452999999999999
13824,2010-5,1,0.963
13824,2010-6,4,0.8777750000000001
13824,2010-7,2,0.9823
13824,2010-8,2,0.9132499999999999
13824,2010-9,7,0.9084857142857142
13824,2011-1,3,0.9195333333333333
13824,2011-2,1,0.8779
13824,2011-3,5,0.8488600000000002
13824,2011-6,1,0.6808
13824,2011-7,1,0.9231
13824,2016-10,3,0.9140999999999999
13824,2016-11,4,0.7258249999999999
13824,2016-12,4,0.6831
13824,2016-5,6,0.9693166666666667
13824,2016-6,8,0.89595
13824,2016-7,3,0.653
13824,2017-1,3,0.7842333333333333
13824,2017-10,5,0.88462
13824,2017-11,1,0.9627
13824,2017-2,3,0.9288
13824,2017-3,5,0.62892
13824,2017-4,6,0.8772666666666668
13824,2017-5,3,0.8764333333333334
13824,2017-6,1,0.6114
13824,2017-7,2,0.94575
13824,2017-8,2,0.96265
13824,2017-9,4,0.7038
13824,2018-3,2,0.76375
13824,2018-4,2,0.83935
13824,2018-5,9,0.8579666666666665
13824,2018-6,4,0.9481
13824,2018-7,5,0.42298
13824,2018-8,5,0.86994
13824,2019-1,1,0.9112
13824,2019-11,1,0.9848
13824,2019-12,1,0.9375
13824,2019-2,2,0.9816
13824,2019-3,4,0.853625
13824,2019-4,7,0.669042857142857
13824,2019-5,5,0.87562
13824,2019-6,1,0.9552
13824,2019-7,2,0.8807
13824,2019-8,3,0.9530666666666666
13824,2019-9,2,0.84515
13824,2020-1,1,0.7405
13824,2020-2,1,0.9666
14218,2011-5,2,0.83745
14218,2014-7,3,0.8591666666666665
14218,2014-8,1,0.9829
14218,2014-9,1,0.9651
14218,2015-10,7,0.8033142857142858
14218,2015-11,3,0.9536666666666668
14218,2015-12,2,0.9886
14218,2015-3,1,0.9117
14218,2015-5,3,0.5916333333333333
14218,2015-9,8,0.6189625000000001
14218,2016-10,10,0.7169800000000001
14218,2016-11,3,0.8910666666666667
14218,2016-12,1,0.9601
14218,2016-5,1,0.9401
14218,2016-6,1,0.9718
14218,2016-9,2,0.885
14218,2017-1,3,0.7985333333333333
